City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Castro,BR,2022-01-09 23:49:03,-24.7911,-50.0119,58.28,90,98,5.75
158,Ilulissat,GL,2022-01-09 23:49:03,69.2167,-51.1,17.62,86,100,13.8
159,Husavik,IS,2022-01-09 23:49:04,66.0449,-17.3389,42.71,89,100,28.59
160,Mugla,TR,2022-01-09 23:49:05,37.2303,28.3557,39.87,97,100,7.54
161,West Fargo,US,2022-01-09 23:46:48,46.875,-96.9004,-5.8,77,0,4.61
162,Vega De Alatorre,MX,2022-01-09 23:49:05,20.0333,-96.6333,75.6,88,79,7.76
163,Lavrentiya,RU,2022-01-09 23:49:06,65.5833,-171.0,-10.28,81,8,12.64
164,Sao Filipe,CV,2022-01-09 23:49:07,14.8961,-24.4956,72.45,66,100,2.44
165,Hasaki,JP,2022-01-09 23:49:07,35.7333,140.8333,43.29,72,100,22.06
166,Conakry,GN,2022-01-09 23:47:27,9.538,-13.6773,82.47,74,9,13.8
167,Bograd,RU,2022-01-09 23:49:08,54.2344,90.8328,12.92,67,87,12.68
168,Saskylakh,RU,2022-01-09 23:49:09,71.9167,114.0833,4.15,92,98,9.24
169,Yeppoon,AU,2022-01-09 23:49:10,-23.1333,150.7333,82.18,62,37,15.32
170,Bahar,IR,2022-01-09 23:49:10,34.9072,48.4414,23.16,68,0,2.3
171,Tiksi,RU,2022-01-09 23:49:11,71.6872,128.8694,-2.18,76,100,22.06
172,Gyorszemere,HU,2022-01-09 23:49:11,47.5526,17.5636,31.86,97,100,2.08
173,Pisco,PE,2022-01-09 23:49:11,-13.7,-76.2167,73.45,83,0,21.85
174,Faanui,PF,2022-01-09 23:49:12,-16.4833,-151.75,81.75,71,66,4.36
175,Jalu,LY,2022-01-09 23:49:12,29.0331,21.5482,50.92,53,0,12.37
176,Hobyo,SO,2022-01-09 23:49:13,5.3505,48.5268,76.68,68,7,19.51
177,Port Lincoln,AU,2022-01-09 23:49:13,-34.7333,135.8667,82.67,44,70,10.87
178,Matara,LK,2022-01-09 23:49:14,5.9485,80.5353,74.16,91,100,8.43
179,Shimoda,JP,2022-01-09 23:50:14,34.6667,138.95,50.36,72,60,14.36
180,Solnechnyy,RU,2022-01-09 23:50:15,50.7214,136.6319,-9.85,97,53,2.68
181,Khrebtovaya,RU,2022-01-09 23:50:15,56.7032,104.2494,-13.85,85,56,4.38
182,Port Elizabeth,ZA,2022-01-09 23:50:16,-33.918,25.5701,68.09,94,75,16.11
183,Asau,RO,2022-01-09 23:50:16,46.4333,26.4,33.28,98,100,3.56
184,Hambantota,LK,2022-01-09 23:50:16,6.1241,81.1185,75.6,88,100,11.01
185,Kulhudhuffushi,MV,2022-01-09 23:50:17,6.6221,73.07,80.15,75,95,8.61
186,Tuatapere,NZ,2022-01-09 23:50:18,-46.1333,167.6833,68.83,72,95,2.53
187,Tautira,PF,2022-01-09 23:50:18,-17.7333,-149.15,82.42,81,99,25.97
188,Fagernes,NO,2022-01-09 23:50:19,60.9858,9.2324,12.54,98,99,2.26
189,Ishigaki,JP,2022-01-09 23:50:19,24.3448,124.1572,68.13,83,75,21.85
190,Xuddur,SO,2022-01-09 23:50:19,4.1213,43.8894,70.54,77,12,14.23
191,Berlevag,NO,2022-01-09 23:50:20,70.8578,29.0864,29.82,85,100,23.51
192,Khatanga,RU,2022-01-09 23:50:20,71.9667,102.5,-8.03,94,57,5.21
193,Batagay-Alyta,RU,2022-01-09 23:50:21,67.8006,130.4114,-21.96,87,53,3.87
194,Provideniya,RU,2022-01-09 23:50:21,64.3833,-173.3,6.91,66,0,17.9
195,Mandalgovi,MN,2022-01-09 23:50:22,45.7625,106.2708,6.37,72,4,3.4
196,Ialibu,PG,2022-01-09 23:50:22,-6.2821,143.9935,66.27,73,74,3.11
197,Guanare,VE,2022-01-09 23:50:22,9.0418,-69.7421,86.02,45,39,11.5
198,Kavieng,PG,2022-01-09 23:50:23,-2.5744,150.7967,83.53,69,100,7.27
199,Pangnirtung,CA,2022-01-09 23:50:24,66.1451,-65.7125,-25.19,84,26,5.61
200,Touros,BR,2022-01-09 23:50:24,-5.1989,-35.4608,81.5,74,96,14.67
201,Bella Union,UY,2022-01-09 23:50:25,-30.2752,-57.6007,83.26,28,0,7.36
202,Chuy,UY,2022-01-09 23:50:25,-33.6971,-53.4616,69.87,79,0,13.35
203,Bonthe,SL,2022-01-09 23:50:26,7.5264,-12.505,79.79,84,11,7.81
204,Ayan,RU,2022-01-09 23:50:26,56.45,138.1667,-7.17,71,100,15.14
205,Nkhotakota,MW,2022-01-09 23:50:27,-12.9274,34.2961,75.06,76,100,3.56
206,Mount Pleasant,US,2022-01-09 23:50:27,32.7941,-79.8626,67.17,88,20,3.0
207,Pemberton,CA,2022-01-09 23:50:28,50.3164,-122.8027,33.49,97,100,0.92
208,La Ronge,CA,2022-01-09 23:50:28,55.1001,-105.2842,-14.55,64,40,3.44
