City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Matara,LK,76.89,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
304,Mabaruma,GY,73.27,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
306,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
307,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
308,Sabya,SA,78.42,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
311,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
312,Ilebo,CD,71.78,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
315,Ancud,CL,71.13,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
317,Carutapera,BR,77.02,heavy intensity rain,-1.195,-46.02,Lidera
325,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
326,Dangriga,BZ,82.36,few clouds,16.9692,-88.2321,Chaleanor Hotel
327,Santa Maria,BR,85.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
328,Moyo,UG,71.55,overcast clouds,3.6609,31.7247,Amelia Guest House
332,Sorong,ID,78.1,heavy intensity rain,-0.8833,131.25,Waigo Splash Hotel
339,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Base Lodging
342,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
344,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
347,Sandakan,MY,73.08,scattered clouds,5.8402,118.1179,Hotel Sandakan
355,Otane,NZ,73.0,clear sky,-39.8833,176.6333,Ludlow Farmstay
360,Ojinaga,MX,84.42,scattered clouds,29.5667,-104.4167,Suites Las Palmas
362,Djambala,CG,73.38,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
363,Springfield,US,71.62,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
365,Luangwa,ZM,72.7,moderate rain,-15.6167,30.4167,Gerasimos Safari Lodge
368,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
373,Soyo,AO,80.53,light rain,-6.1349,12.3689,Hotel Mpampa
378,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
382,Vitoria Do Mearim,BR,76.5,overcast clouds,-3.4622,-44.8706,HOTEL VITÓRIA IMPORTADOS
385,Port Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
390,Cordoba,AR,74.75,broken clouds,-31.4135,-64.1811,Hotel Sussex
391,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
393,Honiara,SB,84.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
397,Samarai,PG,83.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
399,Trairi,BR,79.68,clear sky,-3.2778,-39.2689,janelas do mar
400,Salalah,OM,73.26,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
401,Inverell,AU,73.67,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
